ULW,Material,Optik,Schale,Hoehe,Daemmung,Luefterrahmen_Variante,Lichtkuppel_Preis_EUR,Aufsatzkranz_Preis_EUR,Luefterrahmen_Preis_EUR,Zusatzkosten_EUR,Total_EUR
60,Acryl (Standard),klar (transparent),4-schalig,30 cm,60 mm,festverglast (nicht zu öffnen),320.1,306.84,0,0,626.94
60,Acryl (Standard),klar (transparent),4-schalig,30 cm,60 mm,manuell offenbar (Spindel),320.1,306.84,235.8,52.5,915.24
60,Acryl (Standard),klar (transparent),4-schalig,30 cm,80 mm,keine,320.1,310.2,,,630.30
60,Acryl (Standard),klar (transparent),4-schalig,30 cm,80 mm,festverglast (nicht zu öffnen),320.1,310.2,0,0,630.30
60,Acryl (Standard),klar (transparent),4-schalig,30 cm,80 mm,manuell offenbar (Spindel),320.1,310.2,235.8,52.5,918.60
60,Acryl (Standard),klar (transparent),4-schalig,30 cm,100 mm,keine,320.1,315.48,,,635.58
60,Acryl (Standard),klar (transparent),4-schalig,30 cm,100 mm,festverglast (nicht zu öffnen),320.1,315.48,0,0,635.58
60,Acryl (Standard),klar (transparent),4-schalig,30 cm,100 mm,manuell offenbar (Spindel),320.1,315.48,235.8,52.5,923.88
60,Acryl (Standard),klar (transparent),4-schalig,50 cm,20 mm,keine,320.1,318.3,,,638.40
60,Acryl (Standard),klar (transparent),4-schalig,50 cm,20 mm,festverglast (nicht zu öffnen),320.1,318.3,0,0,638.40
60,Acryl (Standard),klar (transparent),4-schalig,50 cm,20 mm,manuell offenbar (Spindel),320.1,318.3,235.8,52.5,926.70
60,Acryl (Standard),klar (transparent),4-schalig,50 cm,40 mm,keine,320.1,438.78,,,758.88
60,Acryl (Standard),klar (transparent),4-schalig,50 cm,40 mm,festverglast (nicht zu öffnen),320.1,438.78,0,0,758.88
60,Acryl (Standard),klar (transparent),4-schalig,50 cm,40 mm,manuell offenbar (Spindel),320.1,438.78,235.8,52.5,1047.18
60,Acryl (Standard),klar (transparent),4-schalig,50 cm,50 mm,keine,320.1,442.14,,,762.24
60,Acryl (Standard),klar (transparent),4-schalig,50 cm,50 mm,festverglast (nicht zu öffnen),320.1,442.14,0,0,762.24
60,Acryl (Standard),klar (transparent),4-schalig,50 cm,50 mm,manuell offenbar (Spindel),320.1,442.14,235.8,52.5,1050.54
60,Acryl (Standard),klar (transparent),4-schalig,50 cm,60 mm,keine,320.1,445.98,,,766.08
60,Acryl (Standard),klar (transparent),4-schalig,50 cm,60 mm,festverglast (nicht zu öffnen),320.1,445.98,0,0,766.08
60,Acryl (Standard),klar (transparent),4-schalig,50 cm,60 mm,manuell offenbar (Spindel),320.1,445.98,235.8,52.5,1054.38
60,Acryl (Standard),klar (transparent),4-schalig,50 cm,80 mm,keine,320.1,450.3,,,770.40
60,Acryl (Standard),klar (transparent),4-schalig,50 cm,80 mm,festverglast (nicht zu öffnen),320.1,450.3,0,0,770.40
60,Acryl (Standard),klar (transparent),4-schalig,50 cm,80 mm,manuell offenbar (Spindel),320.1,450.3,235.8,52.5,1058.70
60,Acryl (Standard),klar (transparent),4-schalig,50 cm,100 mm,keine,320.1,458.94,,,779.04
60,Acryl (Standard),klar (transparent),4-schalig,50 cm,100 mm,festverglast (nicht zu öffnen),320.1,458.94,0,0,779.04
60,Acryl (Standard),klar (transparent),4-schalig,50 cm,100 mm,manuell offenbar (Spindel),320.1,458.94,235.8,52.5,1067.34
60,Acryl (Standard),klar (transparent),5-schalig,15 cm,20 mm,keine,387.6,164.7,,,552.30
60,Acryl (Standard),klar (transparent),5-schalig,15 cm,20 mm,festverglast (nicht zu öffnen),387.6,164.7,0,0,552.30
60,Acryl (Standard),klar (transparent),5-schalig,15 cm,20 mm,manuell offenbar (Spindel),387.6,164.7,235.8,52.5,840.60
60,Acryl (Standard),klar (transparent),5-schalig,30 cm,20 mm,keine,387.6,216.6,,,604.20
60,Acryl (Standard),klar (transparent),5-schalig,30 cm,20 mm,festverglast (nicht zu öffnen),387.6,216.6,0,0,604.20
